departure_time,departure_city,departure_airport,arrival_time,arrival_city,arrival_airport,price
16:05,Gdansk,GDN,17:20,Goteborg GOTGoteborg (Landvetter),GOT,78
11:00,Gdansk,GDN,12:00,Vaxjo,VXO,80
16:40,Gdansk,GDN,17:55,Krakow,KRK,98
15:50,Gdansk,GDN,17:20,Oslo TRFOslo (Torp),TRF,68
09:40,Gdansk,GDN,10:45,Wroclaw,WRO,78
09:40,Gdansk,GDN,10:45,Wroclaw,WRO,78
09:40,Gdansk,GDN,13:55,Oslo TRFOslo (Torp),TRF,148
13:55,Gdansk,GDN,16:10,Paris BVAParis (Beauvais),BVA,108
05:45,Gdansk,GDN,06:55,Lublin,LUZ,96
16:40,Gdansk,GDN,17:55,Krakow,KRK,98
06:30,Gdansk,GDN,07:50,Hamburg,HAM,178
05:45,Gdansk,GDN,07:10,Leeds,LBA,128
05:45,Gdansk,GDN,08:15,Liverpool,LPL,88
07:35,Gdansk,GDN,22:15,Paris BVAParis (Beauvais),BVA,163
22:10,Gdansk,GDN,23:20,Copenhagen,CPH,106
13:55,Gdansk,GDN,16:10,Paris BVAParis (Beauvais),BVA,108
08:30,Gdansk,GDN,15:30,Krakow,KRK,260
05:50,Gdansk,GDN,14:40,Milan MXPMilan (Malpensa),MXP,193
07:35,Gdansk,GDN,09:00,Manchester,MAN,88
08:50,Gdansk,GDN,10:25,Bratislava,BTS,78
13:45,Gdansk,GDN,15:05,Prague,PRG,196
10:00,Gdansk,GDN,16:05,Leeds,LBA,236
07:15,Gdansk,GDN,08:55,Dortmund,DTM,191
16:05,Gdansk,GDN,17:20,Goteborg GOTGoteborg (Landvetter),GOT,78
08:30,Gdansk,GDN,10:35,Zadar,ZAD,154
09:40,Gdansk,GDN,14:00,Liverpool,LPL,196
08:30,Gdansk,GDN,10:35,Zadar,ZAD,154
11:30,Gdansk,GDN,17:55,Riga,RIX,274
07:35,Gdansk,GDN,22:15,Paris BVAParis (Beauvais),BVA,163
07:35,Gdansk,GDN,09:00,Manchester,MAN,88
09:10,Gdansk,GDN,10:25,Aarhus,AAR,205
16:40,Gdansk,GDN,00:05,Bologna,BLQ,163
07:35,Gdansk,GDN,20:55,Milan BGYMilan (Bergamo),BGY,198
08:50,Gdansk,GDN,22:40,Brussels CRLBrussels (Charleroi),CRL,142
08:30,Gdansk,GDN,15:30,Krakow,KRK,260
15:50,Gdansk,GDN,17:20,Oslo TRFOslo (Torp),TRF,68
18:20,Gdansk,GDN,19:45,Aberdeen,ABZ,178
13:55,Gdansk,GDN,23:35,Budapest,BUD,289
12:50,Gdansk,GDN,15:00,Split,SPU,269
05:50,Gdansk,GDN,14:40,Milan MXPMilan (Malpensa),MXP,193
15:15,Gdansk,GDN,16:50,Oslo OSLOslo (Gardermoen),OSL,88
06:45,Gdansk,GDN,08:25,Belfast,BFS,115
13:55,Gdansk,GDN,23:00,Manchester,MAN,180
05:45,Gdansk,GDN,07:45,Cork,ORK,146
05:45,Gdansk,GDN,17:20,Barcelona,BCN,274
16:50,Gdansk,GDN,19:00,Milan BGYMilan (Bergamo),BGY,209
05:45,Gdansk,GDN,23:20,Corfu,CFU,338
06:15,Gdansk,GDN,07:35,Stockholm ARNStockholm (Arlanda),ARN,108
05:45,Gdansk,GDN,08:15,Liverpool,LPL,88
06:15,Gdansk,GDN,17:35,Riga,RIX,313
05:45,Gdansk,GDN,22:35,Palma Mall,PMI,215
13:10,Gdansk,GDN,15:10,Venice TSFVenice (Treviso),TSF,243
05:50,Gdansk,GDN,15:30,Birmingham,BHX,202
13:55,Gdansk,GDN,23:00,Manchester,MAN,180
19:20,Gdansk,GDN,22:50,Bourgas,BOJ,298
18:30,Gdansk,GDN,21:40,Barcelona,BCN,298
06:15,Gdansk,GDN,13:00,Copenhagen,CPH,259
16:55,Gdansk,GDN,19:25,Rome CIARome (Ciampino),CIA,274
16:05,Gdansk,GDN,21:25,Gdansk,GDN,222
07:35,Gdansk,GDN,20:55,Milan BGYMilan (Bergamo),BGY,198
05:50,Gdansk,GDN,07:50,Venice TSFVenice (Treviso),TSF,213
11:30,Gdansk,GDN,15:50,Venice TSFVenice (Treviso),TSF,272
07:35,Gdansk,GDN,16:30,Bratislava,BTS,348
06:15,Gdansk,GDN,07:35,Stockholm ARNStockholm (Arlanda),ARN,108
09:40,Gdansk,GDN,13:55,Oslo TRFOslo (Torp),TRF,148
07:20,Gdansk,GDN,16:30,Prague,PRG,338
16:55,Gdansk,GDN,19:25,Rome CIARome (Ciampino),CIA,274
08:25,Gdansk,GDN,20:55,Venice TSFVenice (Treviso),TSF,230
08:50,Gdansk,GDN,22:15,Thessaloni,SKG,246
15:15,Gdansk,GDN,16:50,Oslo OSLOslo (Gardermoen),OSL,88
05:50,Gdansk,GDN,11:30,Madrid,MAD,193
09:15,Gdansk,GDN,14:15,Wroclaw,WRO,394
22:10,Gdansk,GDN,23:20,Copenhagen,CPH,106
05:45,Gdansk,GDN,17:45,Alicante,ALC,241
05:45,Gdansk,GDN,17:45,Alicante,ALC,241
08:30,Gdansk,GDN,21:40,Bucharest OTPBucharest (Otopeni),OTP,282
18:10,Gdansk,GDN,22:50,Larnaca,LCA,249
08:25,Gdansk,GDN,13:10,Podgorica,TGD,436
07:35,Gdansk,GDN,21:20,Belfast,BFS,203
08:05,Gdansk,GDN,15:35,Split,SPU,362
09:40,Gdansk,GDN,15:30,Rome CIARome (Ciampino),CIA,326
07:35,Gdansk,GDN,00:35,Cologne CGNCologne-Bonn,CGN,163
06:45,Gdansk,GDN,11:50,London STNLondon (Stansted),STN,330
07:35,Gdansk,GDN,13:50,Shannon,SNN,173
16:40,Gdansk,GDN,21:50,Vienna,VIE,241
11:30,Gdansk,GDN,19:45,London LGWLondon (Gatwick),LGW,219
12:00,Gdansk,GDN,13:20,Newcastle,NCL,94
14:25,Gdansk,GDN,16:45,Pisa,PSA,281
13:55,Gdansk,GDN,23:35,Budapest,BUD,289
11:30,Gdansk,GDN,23:25,Pisa,PSA,289
08:30,Gdansk,GDN,14:55,Rome FCORome (Fiumicino),FCO,222
16:50,Gdansk,GDN,19:00,Milan BGYMilan (Bergamo),BGY,209
05:45,Gdansk,GDN,17:20,Barcelona,BCN,274
10:00,Gdansk,GDN,18:55,Malaga,AGP,342
11:15,Gdansk,GDN,13:10,Bergen,BGO,208
09:40,Gdansk,GDN,15:30,Rome CIARome (Ciampino),CIA,326
09:35,Gdansk,GDN,10:55,Leeds,LBA,211
17:10,Gdansk,GDN,21:20,Chania,CHQ,346
11:30,Gdansk,GDN,23:25,Pisa,PSA,289
08:30,Gdansk,GDN,13:50,Poznan,POZ,276
09:40,Gdansk,GDN,14:00,Liverpool,LPL,196
08:55,Gdansk,GDN,13:30,Paphos,PFO,204
09:40,Gdansk,GDN,19:00,Malta,MLA,286
11:25,Gdansk,GDN,14:40,Malta,MLA,322
07:35,Gdansk,GDN,20:35,Valencia,VLC,316
05:45,Gdansk,GDN,23:20,Corfu,CFU,338
12:00,Gdansk,GDN,23:10,Bristol,BRS,309
08:05,Gdansk,GDN,00:40,Tirana,TIA,372
09:40,Gdansk,GDN,19:00,Malta,MLA,286
05:50,Gdansk,GDN,08:25,Naples,NAP,288
10:00,Gdansk,GDN,16:05,Leeds,LBA,236
08:50,Gdansk,GDN,19:30,Skopje,SKP,229
18:10,Gdansk,GDN,22:50,Larnaca,LCA,249
12:45,Gdansk,GDN,15:20,Brindisi,BDS,303
18:30,Gdansk,GDN,23:05,Zagreb,ZAG,333
23:00,Gdansk,GDN,01:15,Riga,RIX,495
17:10,Gdansk,GDN,21:20,Chania,CHQ,346
10:05,Gdansk,GDN,12:35,Turku,TKU,409
14:25,Gdansk,GDN,16:45,Pisa,PSA,281
05:45,Gdansk,GDN,15:45,London LTNLondon (Luton),LTN,223
17:05,Gdansk,GDN,19:50,Tromso,TOS,208
11:25,Gdansk,GDN,14:40,Malta,MLA,322
08:25,Gdansk,GDN,13:00,Zadar,ZAD,290
07:35,Gdansk,GDN,20:20,Naples,NAP,313
18:00,Gdansk,GDN,22:15,Heraklion,HER,359
07:35,Gdansk,GDN,17:05,Paris ORYParis (Orly),ORY,218
09:40,Gdansk,GDN,16:45,East Midla,EMA,247
06:40,Gdansk,GDN,08:25,Eindhoven,EIN,218
11:55,Gdansk,GDN,20:15,Athens,ATH,407
15:10,Gdansk,GDN,18:50,Alicante,ALC,352
18:30,Gdansk,GDN,21:40,Barcelona,BCN,298
11:30,Gdansk,GDN,00:05,Oslo OSLOslo (Gardermoen),OSL,278
05:55,Gdansk,GDN,07:25,Edinburgh,EDI,167
15:10,Gdansk,GDN,18:50,Alicante,ALC,352
05:50,Gdansk,GDN,15:15,Katowice,KTW,277
19:30,Gdansk,GDN,21:40,Milan MXPMilan (Malpensa),MXP,448
07:35,Gdansk,GDN,15:00,Copenhagen,CPH,272
12:10,Gdansk,GDN,14:10,Aalesund,AES,208
19:20,Gdansk,GDN,22:50,Bourgas,BOJ,298
07:35,Gdansk,GDN,20:20,Naples,NAP,313
16:35,Gdansk,GDN,20:50,Malaga,AGP,448
11:30,Gdansk,GDN,17:00,Szczecin,SZZ,356
11:30,Gdansk,GDN,22:50,Stockholm ARNStockholm (Arlanda),ARN,314
10:00,Gdansk,GDN,18:55,Malaga,AGP,342
07:35,Gdansk,GDN,19:05,Goteborg GOTGoteborg (Landvetter),GOT,607
05:45,Gdansk,GDN,20:55,Lanzarote,ACE,303
16:40,Gdansk,GDN,22:45,Bucharest BBUBucharest (Aurel Vlaicu),BBU,407
05:50,Gdansk,GDN,18:15,Tirana,TIA,320
05:45,Gdansk,GDN,13:15,Knock,NOC,428
06:15,Gdansk,GDN,19:15,Bergen,BGO,335
05:55,Gdansk,GDN,07:25,Edinburgh,EDI,167
19:35,Gdansk,GDN,22:00,Tirana,TIA,519
08:30,Gdansk,GDN,17:50,Bournemout,BOH,282
05:45,Gdansk,GDN,23:05,Edinburgh,EDI,221
16:50,Gdansk,GDN,18:45,Reykjavik KEFReykjavik (Keflavik),KEF,308
05:45,Gdansk,GDN,21:20,Faro,FAO,378
07:35,Gdansk,GDN,17:30,Sevilla,SVQ,324
07:35,Gdansk,GDN,17:25,Lisbon,LIS,351
19:30,Gdansk,GDN,21:40,Milan MXPMilan (Malpensa),MXP,448
12:00,Gdansk,GDN,23:10,Bristol,BRS,309
08:05,Gdansk,GDN,12:15,Zadar,ZAD,469
07:35,Gdansk,GDN,13:50,Paris CDGParis (Charles de Gaulle),CDG,283
05:50,Gdansk,GDN,23:50,Ibiza,IBZ,452
12:50,Gdansk,GDN,15:25,Naples,NAP,328
11:30,Gdansk,GDN,00:05,Oslo OSLOslo (Gardermoen),OSL,278
07:10,Gdansk,GDN,09:05,Trondheim,TRD,178
11:30,Gdansk,GDN,22:50,Stockholm ARNStockholm (Arlanda),ARN,314
12:50,Gdansk,GDN,15:00,Split,SPU,269
07:35,Gdansk,GDN,20:20,Split,SPU,443
13:35,Gdansk,GDN,18:15,Madeira FNCMadeira (Funchal),FNC,399
07:35,Gdansk,GDN,17:05,Nantes,NTE,207
16:25,Gdansk,GDN,23:45,Vilnius,VNO,350
05:45,Gdansk,GDN,07:45,Cork,ORK,146
10:00,Gdansk,GDN,15:50,Cork,ORK,414
10:05,Gdansk,GDN,11:55,Haugesund,HAU,318
15:15,Gdansk,GDN,22:40,Eindhoven,EIN,429
06:45,Gdansk,GDN,11:35,Newcastle,NCL,280
12:00,Gdansk,GDN,13:20,Newcastle,NCL,94
08:30,Gdansk,GDN,17:10,Dusseldorf NRNDusseldorf (Weeze),NRN,379
08:05,Gdansk,GDN,21:45,Sofia,SOF,377
