departure_time,departure_city,departure_airport,arrival_time,arrival_city,arrival_airport,price
22:20,Krakow,KRK,00:05,Bologna,BLQ,64
19:15,Krakow,KRK,20:55,Venice TSFVenice (Treviso),TSF,78
13:10,Krakow,KRK,14:20,Gdansk,GDN,94
13:20,Krakow,KRK,15:20,Brussels CRLBrussels (Charleroi),CRL,94
05:45,Krakow,KRK,07:40,Perugia,PEG,141
11:00,Krakow,KRK,12:50,Pescara,PSR,169
19:25,Krakow,KRK,21:25,Genova,GOA,129
13:05,Krakow,KRK,14:55,Goteborg GOTGoteborg (Landvetter),GOT,78
11:20,Krakow,KRK,12:50,Trieste,TRS,146
11:30,Krakow,KRK,13:00,Zadar,ZAD,138
18:05,Krakow,KRK,19:45,London LGWLondon (Gatwick),LGW,88
06:00,Krakow,KRK,08:05,Oslo TRFOslo (Torp),TRF,76
18:40,Krakow,KRK,20:45,Rome FCORome (Fiumicino),FCO,129
06:00,Krakow,KRK,19:10,Gdansk,GDN,158
19:30,Krakow,KRK,21:25,Milan MXPMilan (Malpensa),MXP,139
06:00,Krakow,KRK,08:30,Bucharest BBUBucharest (Aurel Vlaicu),BBU,139
15:30,Krakow,KRK,17:20,Basel-Mulh BSLBasel-Mulhouse-Freiburg (BSL),BSL,139
13:05,Krakow,KRK,14:55,Goteborg GOTGoteborg (Landvetter),GOT,78
12:00,Krakow,KRK,13:50,Tirana,TIA,214
07:40,Krakow,KRK,08:45,Prague,PRG,141
17:55,Krakow,KRK,23:59,Milan MXPMilan (Malpensa),MXP,240
11:30,Krakow,KRK,13:00,Zadar,ZAD,138
13:25,Krakow,KRK,15:25,Pisa,PSA,144
15:20,Krakow,KRK,17:55,Riga,RIX,143
12:45,Krakow,KRK,23:15,Zadar,ZAD,203
07:00,Krakow,KRK,08:30,Leeds,LBA,147
22:20,Krakow,KRK,00:05,Bologna,BLQ,64
17:55,Krakow,KRK,19:50,Bari,BRI,182
19:25,Krakow,KRK,21:25,Genova,GOA,129
13:10,Krakow,KRK,19:20,Prague,PRG,189
06:00,Krakow,KRK,15:00,Riga,RIX,218
06:00,Krakow,KRK,08:05,Oslo TRFOslo (Torp),TRF,76
20:45,Krakow,KRK,21:50,Vienna,VIE,143
19:50,Krakow,KRK,22:45,Thessaloni,SKG,187
19:30,Krakow,KRK,21:25,Milan MXPMilan (Malpensa),MXP,139
16:00,Krakow,KRK,17:40,Ancona,AOI,190
15:15,Krakow,KRK,16:55,Bournemout,BOH,249
13:25,Krakow,KRK,15:25,Pisa,PSA,144
15:45,Krakow,KRK,17:45,Rome CIARome (Ciampino),CIA,229
12:45,Krakow,KRK,23:15,Zadar,ZAD,203
17:55,Krakow,KRK,19:50,Bari,BRI,182
08:30,Krakow,KRK,17:05,Lamezia Te,SUF,269
13:10,Krakow,KRK,17:20,Oslo TRFOslo (Torp),TRF,163
12:35,Krakow,KRK,23:45,Sofia,SOF,265
08:15,Krakow,KRK,10:55,Sofia,SOF,269
20:45,Krakow,KRK,21:50,Vienna,VIE,143
11:50,Krakow,KRK,14:05,Paris BVAParis (Beauvais),BVA,175
15:20,Krakow,KRK,17:55,Riga,RIX,143
08:05,Krakow,KRK,10:05,Stockholm ARNStockholm (Arlanda),ARN,125
11:45,Krakow,KRK,14:05,Olbia,OLB,261
05:45,Krakow,KRK,07:40,Perugia,PEG,141
08:30,Krakow,KRK,21:30,Bari,BRI,254
13:20,Krakow,KRK,15:20,Brussels CRLBrussels (Charleroi),CRL,94
16:05,Krakow,KRK,19:25,Bologna,BLQ,307
11:50,Krakow,KRK,14:05,Paris BVAParis (Beauvais),BVA,175
05:45,Krakow,KRK,14:55,Malta,MLA,227
06:00,Krakow,KRK,08:15,Lamezia Te,SUF,265
07:00,Krakow,KRK,08:30,Leeds,LBA,147
16:00,Krakow,KRK,17:40,Ancona,AOI,190
16:05,Krakow,KRK,20:40,Tel Aviv-Y TLVTel Aviv-Yafo (Ben Gurion),TLV,208
13:10,Krakow,KRK,14:20,Gdansk,GDN,94
12:00,Krakow,KRK,13:50,Tirana,TIA,214
12:15,Krakow,KRK,17:30,Pescara,PSR,365
13:20,Krakow,KRK,20:05,Manchester,MAN,200
05:45,Krakow,KRK,10:00,Tirana,TIA,371
18:05,Krakow,KRK,19:45,London LGWLondon (Gatwick),LGW,88
05:45,Krakow,KRK,22:45,Corfu,CFU,329
05:45,Krakow,KRK,09:05,Athens,ATH,266
13:00,Krakow,KRK,19:55,Zagreb,ZAG,235
20:45,Krakow,KRK,23:05,Paris CDGParis (Charles de Gaulle),CDG,167
19:15,Krakow,KRK,20:55,Venice TSFVenice (Treviso),TSF,78
06:00,Krakow,KRK,18:00,Venice TSFVenice (Treviso),TSF,329
17:30,Krakow,KRK,20:10,Malta,MLA,251
12:25,Krakow,KRK,14:00,Birmingham,BHX,190
08:30,Krakow,KRK,21:30,Bari,BRI,254
06:00,Krakow,KRK,07:05,Prague,PRG,141
13:20,Krakow,KRK,20:55,Cluj CLJCluj-Napoca,CLJ,253
13:00,Krakow,KRK,17:30,Edinburgh,EDI,158
05:45,Krakow,KRK,07:20,Birmingham,BHX,195
08:10,Krakow,KRK,10:50,Sofia,SOF,218
12:15,Krakow,KRK,14:40,Catania,CTA,261
