departure_time,departure_city,departure_airport,arrival_time,arrival_city,arrival_airport,price
22:35,Lodz,LCJ,00:30,Milan BGYMilan (Bergamo),BGY,80
15:50,Lodz,LCJ,17:05,London STNLondon (Stansted),STN,153
11:35,Lodz,LCJ,16:10,Karlsruhe FKBKarlsruhe-Baden Baden,FKB,316
11:35,Lodz,LCJ,20:25,Luxembourg,LUX,299
20:45,Lodz,LCJ,22:40,Brussels CRLBrussels (Charleroi),CRL,247
13:40,Lodz,LCJ,00:55,Poznan,POZ,359
20:45,Lodz,LCJ,00:10,Alicante,ALC,344
09:50,Lodz,LCJ,13:45,Malaga,AGP,366
15:50,Lodz,LCJ,22:50,Trieste,TRS,396
11:35,Lodz,LCJ,18:30,Zagreb,ZAG,485
09:50,Lodz,LCJ,18:50,Marseille,MRS,459
15:50,Lodz,LCJ,22:15,Edinburgh,EDI,347
15:50,Lodz,LCJ,22:20,Dubrovnik,DBV,382
11:35,Lodz,LCJ,22:20,Valencia,VLC,316
11:05,Lodz,LCJ,15:00,Malaga,AGP,640
11:35,Lodz,LCJ,19:00,Sevilla,SVQ,413
15:50,Lodz,LCJ,20:35,Glasgow,GLA,417
15:50,Lodz,LCJ,22:45,Cluj CLJCluj-Napoca,CLJ,791
09:50,Lodz,LCJ,20:55,Milan BGYMilan (Bergamo),BGY,946
10:10,Lodz,LCJ,00:30,Malaga,AGP,750
11:35,Lodz,LCJ,22:30,Toulouse,TLS,360
15:55,Lodz,LCJ,19:20,Belfast,BFS,476
11:35,Lodz,LCJ,22:05,Kefalonia,EFL,381
13:40,Lodz,LCJ,23:59,Palma Mall,PMI,375
20:45,Lodz,LCJ,00:10,Alicante,ALC,344
09:50,Lodz,LCJ,22:55,East Midla,EMA,570
11:35,Lodz,LCJ,01:10,Paphos,PFO,607
13:40,Lodz,LCJ,17:55,Cologne CGNCologne-Bonn,CGN,238
15:50,Lodz,LCJ,22:20,Rotterdam,RTM,357
11:05,Lodz,LCJ,20:45,Newcastle,NCL,827
13:40,Lodz,LCJ,23:35,Marrakech,RAK,680
13:40,Lodz,LCJ,00:45,Warsaw WMIWarsaw (Modlin),WMI,407
09:50,Lodz,LCJ,00:05,Manchester,MAN,642
11:35,Lodz,LCJ,22:35,Lanzarote,ACE,381
13:40,Lodz,LCJ,18:00,Liverpool,LPL,583
09:50,Lodz,LCJ,00:50,London LGWLondon (Gatwick),LGW,616
11:05,Lodz,LCJ,19:55,Brussels CRLBrussels (Charleroi),CRL,871
11:05,Lodz,LCJ,23:15,Bristol,BRS,947
11:35,Lodz,LCJ,21:00,Santander,SDR,794
09:50,Lodz,LCJ,21:15,Lyon,LYS,759
09:50,Lodz,LCJ,19:45,Paris ORYParis (Orly),ORY,540
11:35,Lodz,LCJ,20:40,Stockholm ARNStockholm (Arlanda),ARN,331
09:50,Lodz,LCJ,01:30,London LTNLondon (Luton),LTN,759
09:50,Lodz,LCJ,20:20,Krakow,KRK,697
11:05,Lodz,LCJ,23:10,Leeds,LBA,884
10:40,Lodz,LCJ,12:10,Birmingham,BHX,873
09:50,Lodz,LCJ,22:50,Dusseldorf NRNDusseldorf (Weeze),NRN,766
13:40,Lodz,LCJ,22:00,Kos,KGS,533
11:35,Lodz,LCJ,21:25,Rzeszow RZERzeszow-Jasionka,RZE,514
15:50,Lodz,LCJ,22:30,Naples,NAP,976
11:05,Lodz,LCJ,22:45,Nantes,NTE,772
09:50,Lodz,LCJ,22:45,Kaunas,KUN,1044
09:50,Lodz,LCJ,18:35,Amsterdam,AMS,690
11:05,Lodz,LCJ,22:50,Bournemout,BOH,1006
12:50,Lodz,LCJ,21:55,Thessaloni,SKG,1124
13:40,Lodz,LCJ,22:30,Iasi,IAS,1291
22:40,Lodz,LCJ,00:30,Dublin,DUB,337
14:20,Lodz,LCJ,21:20,Lamezia Te,SUF,1042
15:55,Lodz,LCJ,23:10,Bydgoszcz,BZG,776
11:05,Lodz,LCJ,23:10,Bilbao,BIO,990
10:40,Lodz,LCJ,17:10,Barcelona,BCN,1078
09:50,Lodz,LCJ,22:15,Santiago D,SCQ,837
14:20,Lodz,LCJ,21:30,Vilnius,VNO,815
12:50,Lodz,LCJ,22:55,Sarajevo,SJJ,998
11:05,Lodz,LCJ,23:35,Brussels,BRU,1027
11:05,Lodz,LCJ,19:35,Copenhagen,CPH,954
13:40,Lodz,LCJ,18:35,Castellon,CDT,925
11:05,Lodz,LCJ,22:40,Eindhoven,EIN,1236
11:05,Lodz,LCJ,23:45,Milan MXPMilan (Malpensa),MXP,757
09:50,Lodz,LCJ,21:00,Muenster FMOMuenster-Osnabrueck,FMO,1148
11:35,Lodz,LCJ,20:10,Podgorica,TGD,959
09:50,Lodz,LCJ,21:10,Helsinki,HEL,1067
10:40,Lodz,LCJ,18:15,Cork,ORK,1018
09:50,Lodz,LCJ,18:50,Oslo OSLOslo (Gardermoen),OSL,864
10:40,Lodz,LCJ,20:00,Rhodes,RHO,1048
13:40,Lodz,LCJ,21:55,Olbia,OLB,1008
11:05,Lodz,LCJ,22:00,Berlin BERBerlin (Brandenburg),BER,1034
09:50,Lodz,LCJ,17:50,Menorca,MAH,1192
15:55,Lodz,LCJ,00:40,Athens,ATH,1251
