departure_time,departure_city,departure_airport,arrival_time,arrival_city,arrival_airport,price
09:55,Poznan,POZ,10:55,Prague,PRG,68
16:35,Poznan,POZ,18:20,Brussels CRLBrussels (Charleroi),CRL,90
06:10,Poznan,POZ,07:35,Birmingham,BHX,99
12:25,Poznan,POZ,14:10,Zadar,ZAD,156
10:20,Poznan,POZ,11:25,London STNLondon (Stansted),STN,81
05:45,Poznan,POZ,10:45,Tel Aviv-Y TLVTel Aviv-Yafo (Ben Gurion),TLV,139
05:45,Poznan,POZ,07:25,Venice TSFVenice (Treviso),TSF,104
20:05,Poznan,POZ,22:10,Paris BVAParis (Beauvais),BVA,78
22:00,Poznan,POZ,23:20,Liverpool,LPL,143
13:00,Poznan,POZ,14:50,Milan BGYMilan (Bergamo),BGY,137
13:50,Poznan,POZ,20:45,Brussels CRLBrussels (Charleroi),CRL,227
15:45,Poznan,POZ,20:25,Palermo,PMO,231
10:50,Poznan,POZ,12:00,Leeds,LBA,187
19:25,Poznan,POZ,20:40,Copenhagen,CPH,78
15:45,Poznan,POZ,17:55,Bari,BRI,157
08:35,Poznan,POZ,10:40,Rome CIARome (Ciampino),CIA,248
20:05,Poznan,POZ,22:10,Paris BVAParis (Beauvais),BVA,78
22:05,Poznan,POZ,00:10,Tirana,TIA,269
06:10,Poznan,POZ,14:55,Paris BVAParis (Beauvais),BVA,174
13:00,Poznan,POZ,22:35,Salerno,QSR,201
10:20,Poznan,POZ,16:10,Karlsruhe FKBKarlsruhe-Baden Baden,FKB,191
05:45,Poznan,POZ,15:00,Thessaloni,SKG,292
05:45,Poznan,POZ,14:55,Liverpool,LPL,247
13:50,Poznan,POZ,18:00,Birmingham,BHX,287
13:20,Poznan,POZ,14:40,Bristol,BRS,253
06:10,Poznan,POZ,07:35,Birmingham,BHX,99
06:10,Poznan,POZ,18:15,Shannon,SNN,182
22:00,Poznan,POZ,23:20,Liverpool,LPL,143
15:45,Poznan,POZ,23:59,Milan MXPMilan (Malpensa),MXP,215
05:55,Poznan,POZ,09:20,Corfu,CFU,330
13:00,Poznan,POZ,14:50,Milan BGYMilan (Bergamo),BGY,137
06:30,Poznan,POZ,07:30,Prague,PRG,68
13:50,Poznan,POZ,23:00,Bristol,BRS,287
15:40,Poznan,POZ,22:35,Corfu,CFU,337
11:05,Poznan,POZ,12:50,Pula,PUY,365
16:35,Poznan,POZ,22:20,Warsaw WMIWarsaw (Modlin),WMI,226
16:35,Poznan,POZ,18:20,Brussels CRLBrussels (Charleroi),CRL,90
05:45,Poznan,POZ,14:55,Memmingen,FMM,274
06:10,Poznan,POZ,14:55,Paris BVAParis (Beauvais),BVA,174
10:20,Poznan,POZ,11:25,London STNLondon (Stansted),STN,81
16:35,Poznan,POZ,22:20,Barcelona GROBarcelona (Girona),GRO,253
16:35,Poznan,POZ,22:20,Barcelona GROBarcelona (Girona),GRO,253
14:45,Poznan,POZ,20:55,Milan BGYMilan (Bergamo),BGY,319
22:30,Poznan,POZ,00:25,Dubrovnik,DBV,264
16:35,Poznan,POZ,20:05,Manchester,MAN,195
10:20,Poznan,POZ,15:40,Nantes,NTE,167
05:45,Poznan,POZ,15:00,London LTNLondon (Luton),LTN,325
15:45,Poznan,POZ,17:55,Bari,BRI,157
22:30,Poznan,POZ,00:25,Dubrovnik,DBV,264
18:15,Poznan,POZ,19:55,Dublin,DUB,146
14:45,Poznan,POZ,20:55,Milan BGYMilan (Bergamo),BGY,319
09:55,Poznan,POZ,21:00,Rome CIARome (Ciampino),CIA,386
14:45,Poznan,POZ,16:05,Manchester,MAN,209
17:20,Poznan,POZ,19:35,Rome FCORome (Fiumicino),FCO,269
13:00,Poznan,POZ,00:40,Katowice,KTW,245
13:50,Poznan,POZ,15:15,Edinburgh,EDI,153
05:45,Poznan,POZ,19:40,Copenhagen,CPH,302
05:45,Poznan,POZ,07:20,Stockholm ARNStockholm (Arlanda),ARN,129
14:30,Poznan,POZ,23:00,Prague,PRG,477
05:45,Poznan,POZ,00:35,Bucharest OTPBucharest (Otopeni),OTP,230
05:45,Poznan,POZ,07:25,Venice TSFVenice (Treviso),TSF,104
08:55,Poznan,POZ,11:50,Malta,MLA,279
10:20,Poznan,POZ,22:30,Toulouse,TLS,235
05:45,Poznan,POZ,23:45,Sofia,SOF,270
16:35,Poznan,POZ,23:50,Faro,FAO,247
09:15,Poznan,POZ,11:50,Palermo,PMO,444
06:10,Poznan,POZ,17:10,Barcelona,BCN,304
05:45,Poznan,POZ,23:59,Rome FCORome (Fiumicino),FCO,299
20:25,Poznan,POZ,00:15,Malaga,AGP,245
09:45,Poznan,POZ,23:40,Zadar,ZAD,465
05:45,Poznan,POZ,07:25,Oslo TRFOslo (Torp),TRF,170
20:25,Poznan,POZ,23:00,Cagliari,CAG,381
05:45,Poznan,POZ,10:45,Tel Aviv-Y TLVTel Aviv-Yafo (Ben Gurion),TLV,139
08:35,Poznan,POZ,10:40,Rome CIARome (Ciampino),CIA,248
10:20,Poznan,POZ,13:45,Belfast,BFS,266
05:45,Poznan,POZ,15:00,Thessaloni,SKG,292
05:45,Poznan,POZ,07:35,Cork,ORK,119
05:45,Poznan,POZ,17:35,Riga,RIX,395
05:45,Poznan,POZ,07:35,Cork,ORK,119
16:35,Poznan,POZ,23:10,Tirana,TIA,472
13:50,Poznan,POZ,20:45,Brussels CRLBrussels (Charleroi),CRL,227
05:45,Poznan,POZ,10:05,Paphos,PFO,298
13:50,Poznan,POZ,18:00,Birmingham,BHX,287
12:05,Poznan,POZ,16:55,London STNLondon (Stansted),STN,407
22:05,Poznan,POZ,00:10,Tirana,TIA,269
15:40,Poznan,POZ,00:40,Malta,MLA,329
06:10,Poznan,POZ,20:00,Rhodes,RHO,274
10:20,Poznan,POZ,20:25,Luxembourg,LUX,174
10:20,Poznan,POZ,22:20,Valencia,VLC,191
08:05,Poznan,POZ,17:10,Kaunas,KUN,387
05:45,Poznan,POZ,18:10,Edinburgh,EDI,221
06:30,Poznan,POZ,20:55,Naples,NAP,346
20:30,Poznan,POZ,00:25,Chania,CHQ,481
15:40,Poznan,POZ,22:55,Zagreb,ZAG,338
17:20,Poznan,POZ,22:50,Trapani,TPS,420
10:20,Poznan,POZ,20:40,Stockholm ARNStockholm (Arlanda),ARN,206
12:25,Poznan,POZ,17:10,Bari,BRI,258
06:00,Poznan,POZ,10:35,Knock,NOC,394
10:50,Poznan,POZ,18:50,Cluj CLJCluj-Napoca,CLJ,385
17:20,Poznan,POZ,22:10,Marseille,MRS,422
10:20,Poznan,POZ,22:20,Valencia,VLC,191
