departure_time,departure_city,departure_airport,arrival_time,arrival_city,arrival_airport,price
17:25,Szczecin,SZZ,18:35,Krakow,KRK,133
16:25,Szczecin,SZZ,17:35,Liverpool,LPL,126
23:00,Szczecin,SZZ,23:55,London STNLondon (Stansted),STN,78
23:10,Szczecin,SZZ,00:35,Dublin,DUB,139
09:10,Szczecin,SZZ,13:40,Belfast,BFS,288
15:25,Szczecin,SZZ,20:25,Luxembourg,LUX,259
17:25,Szczecin,SZZ,18:35,Krakow,KRK,133
10:05,Szczecin,SZZ,18:30,Riga,RIX,324
16:25,Szczecin,SZZ,22:00,Palma Mall,PMI,255
16:45,Szczecin,SZZ,22:05,Barcelona,BCN,253
10:05,Szczecin,SZZ,11:30,Oslo TRFOslo (Torp),TRF,157
14:55,Szczecin,SZZ,19:25,Frankfurt HHNFrankfurt (Hahn),HHN,273
09:10,Szczecin,SZZ,14:50,Isle Of Ma,IOM,348
14:55,Szczecin,SZZ,22:55,Karlsruhe FKBKarlsruhe-Baden Baden,FKB,273
16:25,Szczecin,SZZ,22:45,Malaga,AGP,345
10:05,Szczecin,SZZ,11:30,Oslo TRFOslo (Torp),TRF,157
09:10,Szczecin,SZZ,21:10,Berlin BERBerlin (Brandenburg),BER,378
15:25,Szczecin,SZZ,22:30,Toulouse,TLS,319
17:25,Szczecin,SZZ,21:25,Turin,TRN,343
09:10,Szczecin,SZZ,01:20,Katowice,KTW,273
14:55,Szczecin,SZZ,20:35,Barcelona REUBarcelona (Reus),REU,362
17:25,Szczecin,SZZ,23:05,Paris CDGParis (Charles de Gaulle),CDG,300
10:05,Szczecin,SZZ,16:35,London STNLondon (Stansted),STN,567
15:25,Szczecin,SZZ,21:55,Osijek,OSI,430
17:25,Szczecin,SZZ,23:25,Pisa,PSA,292
09:10,Szczecin,SZZ,16:10,Zadar,ZAD,376
09:10,Szczecin,SZZ,17:40,Belfast BHDBelfast (city),BHD,565
15:25,Szczecin,SZZ,01:10,Paphos,PFO,567
16:25,Szczecin,SZZ,23:55,Alicante,ALC,410
15:25,Szczecin,SZZ,21:25,Rzeszow RZERzeszow-Jasionka,RZE,474
17:25,Szczecin,SZZ,00:05,Oslo OSLOslo (Gardermoen),OSL,281
14:55,Szczecin,SZZ,20:00,Santiago D,SCQ,345
09:10,Szczecin,SZZ,01:05,Gdansk,GDN,423
15:25,Szczecin,SZZ,20:40,Stockholm ARNStockholm (Arlanda),ARN,291
15:25,Szczecin,SZZ,22:45,Edinburgh,EDI,380
23:10,Szczecin,SZZ,00:35,Dublin,DUB,139
14:55,Szczecin,SZZ,19:30,Glasgow,GLA,392
17:25,Szczecin,SZZ,23:05,Corfu,CFU,505
14:55,Szczecin,SZZ,20:55,Murcia,RMU,581
09:10,Szczecin,SZZ,20:25,Prague,PRG,403
09:10,Szczecin,SZZ,21:10,Nice,NCE,595
09:10,Szczecin,SZZ,16:00,Amsterdam,AMS,595
21:55,Szczecin,SZZ,23:05,Liverpool,LPL,214
10:05,Szczecin,SZZ,17:35,Warsaw,WAW,822
14:55,Szczecin,SZZ,22:35,Vilnius,VNO,766
16:55,Szczecin,SZZ,23:25,London LGWLondon (Gatwick),LGW,842
09:10,Szczecin,SZZ,21:35,Poznan,POZ,873
15:25,Szczecin,SZZ,21:30,Ostrava,OSR,621
09:10,Szczecin,SZZ,20:50,Cork,ORK,847
14:55,Szczecin,SZZ,19:10,Newquay,NQY,924
17:25,Szczecin,SZZ,23:45,Trondheim,TRD,443
15:25,Szczecin,SZZ,21:00,Santander,SDR,754
15:25,Szczecin,SZZ,21:05,Palermo,PMO,472
15:25,Szczecin,SZZ,20:50,Kosice,KSC,956
15:25,Szczecin,SZZ,23:05,Madeira FNCMadeira (Funchal),FNC,580
09:10,Szczecin,SZZ,23:15,Bodrum,BJV,952
